feeling blue	feeling_blue
depressive disorder	depressive_disorder
unipolar depression	unipolar_depression
bipolar depression	bipolar_depression
major depression	major_depression
persistent depressive disorder	persistent_depressive_disorder
mood disorder	mood_disorder
adjustment disorder	adjustment_disorder
chronic fatigue syndrome	chronic_fatigue_syndrome
premenstrual dysphoric disorder	premenstrual_dysphoric_disorder
major depressive disorder	major_depressive_disorder
electroconvulsive therapy	electroconvulsive_therapy
dialectical behavior therapy	dialectical_behavior_therapy
non-suicidal self-injury	non-suicidal_self-injury
obsessive-compulsive disorder	obsessive-compulsive_disorder
post-partum depression	post-partum_depression
self-injury	self-injury
self-harm	self-harm
self-talk	self-talk
avoidant personality disorder	avoidant_personality_disorder
borderline personality disorder	borderline_personality_disorder
post-traumatic stress disorder	post-traumatic_stress_disorder
significant other	significant_other
selective serotonin reuptake inhibitors	selective_serotonin_reuptake_inhibitors
acute stress disorder	acute_stress_disorder
adjustment disorder	adjustment_disorder
adolescent antisocial behavior	adolescent_antisocial_behavior
adult antisocial behavior	adult_antisocial_behavior
agoraphobia	agoraphobia
alcohol abuse	alcohol_abuse
alcohol dependence	alcohol_dependence
alcohol withdrawal	alcohol_withdrawal
alcoholic hallucinosis	alcoholic_hallucinosis
alice in wonderland syndrome	alice_in_wonderland_syndrome
alzheimer's disease	alzheimer's_disease
amnestic disorder	amnestic_disorder
amphetamine dependence	amphetamine_dependence
anosognosia	anosognosia
anorexia nervosa	anorexia_nervosa
anterograde amnesia	anterograde_amnesia
antisocial personality disorder	antisocial_personality_disorder
anxiety disorder	anxiety_disorder
asperger syndrome	asperger_syndrome
atelophobia	atelophobia
attention deficit disorder	attention_deficit_disorder
attention deficit hyperactivity disorder	attention_deficit_hyperactivity_disorder
autism	autism
autophagia	autophagia
avoidant personality disorder	avoidant_personality_disorder
avoidant/restrictive food intake disorder	avoidant/restrictive_food_intake_disorder
avoidant food intake disorder	avoidant_food_intake_disorder
restrictive food intake disorder	restrictive_food_intake_disorder
barbiturate dependence	barbiturate_dependence
benzodiazepine dependence	benzodiazepine_dependence
benzodiazepine misuse	benzodiazepine_misuse
benzodiazepine withdrawal	benzodiazepine_withdrawal
bereavement	bereavement
bibliomania	bibliomania
binge eating disorder	binge_eating_disorder
bipolar disorder	bipolar_disorder
bipolar i disorder	bipolar_i_disorder
bipolar ii disorder	bipolar_ii_disorder
body dysmorphic disorder	body_dysmorphic_disorder
borderline intellectual functioning	borderline_intellectual_functioning
borderline personality disorder	borderline_personality_disorder
brief psychotic disorder	brief_psychotic_disorder
bulimia nervosa	bulimia_nervosa
caffeine-induced anxiety disorder	caffeine-induced_anxiety_disorder
caffeine-induced sleep disorder	caffeine-induced_sleep_disorder
cannabis dependence	cannabis_dependence
capgras delusion	capgras_delusion
